id,Score,Start Date,Popularity,index,x,y,vy,vx,size
Gin no Sankaku,7.33,1980,699,262,328.1262217,1123.558375,-3.35E-07,2.39094E-06,699
Ganbare Genki,7.57,1976,631,263,263.7736256,1010.12988,-2.81239E-06,-2.50E-10,631
Midori no Makibao,7.67,1994,381,264,546.7254884,972.6460994,-3.01E-07,9.60E-07,381
The World of Narue,6.85,1999,1895,265,619.6226415,1351.859532,-1.89E-17,-9.45E-18,1895
Ike! Ina-chuu Takkyuubu,7.23,1993,1026,266,523.7080612,1173.79327,-7.47E-07,-1.21968E-06,1026
Kiyoku Yawaku,7.2,2004,1095,267,696.9811321,1189.9699,-1.89E-17,-3.15E-18,1095
Kyuukyoku Choujin R,7.3,1985,1127,268,402.9957432,1147.738136,2.28402E-06,-4.70E-08,1127
Mr Ajikko,7.2,1986,757,269,417.159535,1189.571975,-1.29E-07,-4.30E-07,757
Kisshou Tennyo,7.15,1983,1071,270,372.0754717,1210.427084,-8.63E-07,9.07E-18,1071
Yuzuki-san Chi no Yonkyoudai.,7.5,2018,816,271,920.159009,1042.461747,-2.31766E-05,1.57201E-05,816
Hanada Shounen-shi,7.6,1993,581,272,526.7924528,1004.953177,-1.26E-17,-3.15E-18,581
Hoshi wo Tsugu Mono,7.27,2011,1002,273,805.2830189,1157.591973,-1.89E-17,-9.45E-18,1002
Honoo no Toukyuuji: Dodge Danpei,7.62,1991,274,274,495.8490566,998.9742053,1.05773E-06,1.41E-17,274
Seikimatsu Leader Den Takeshi!,7.31,1997,592,275,579.0523495,1150.121033,6.13478E-06,1.46941E-06,592
Saikyou! Toritsu Aoizaka Koukou Yakyuubu,7.26,2005,717,276,715.4881447,1160.246393,-1.12596E-06,6.06E-07,717
A Perfect Day for Love Letters,7.12,2001,701,277,650.5660377,1226.973244,-2.52E-17,-3.15E-18,701
Meitantei Yumemizu Kiyoshirou Jiken Note,7.52,2004,517,278,690.8447379,1017.535273,-2.18329E-05,-1.02E-08,517
Papa told me,7.41,1987,1207,279,437.1704957,1093.913036,4.67E-07,1.11755E-06,1207
Wata no Kuni Hoshi,7.49,1978,800,280,294.7169811,1055.832776,-2.52E-17,-4.72E-18,800
Hi Izuru Tokoro no Tenshi,7.51,1980,984,281,325.6603774,1046.58194,-1.26E-17,-6.30E-18,984
Those Snow White Notes,7.3,2009,2064,282,774.3396226,1143.715719,-1.57E-16,4.09E-17,2064
A Spirit of the Sun,7.25,2003,1089,283,681.3732528,1163.953908,-3.07389E-06,8.28E-07,1089
Shura no Mon,7.19,1987,687,284,435.3101745,1194.998289,1.30E-07,4.36E-07,687
Souten Kouro,7.16,1994,1256,285,539.8193233,1213.681767,1.72155E-06,-9.80E-07,1256
Asari-chan,7.22,1978,405,286,294.7169811,1180.719064,-1.89E-17,-3.15E-18,405
Dragon Zakura,7.01,2003,964,287,681.509434,1277.852843,-2.52E-17,-1.26E-17,964
Hajime-chan ga Ichiban!,7.22,1988,536,288,449.4339623,1180.719064,-2.52E-17,-4.72E-18,536
Robo Sapiens: Tales of Tomorrow,7.16,2018,640,289,915.5961543,1207.870289,-1.94E-07,6.50E-07,640
My Girlfriend's Child,7.48,2021,1300,290,960,1060.458194,-1.26E-17,-9.45E-18,1300
Sanju Mariko,7.34,2016,767,291,882.641555,1116.597608,-2.78553E-06,-2.79E-10,767
Angel Lip,7.03,1996,682,292,573.2075472,1268.602007,-1.89E-17,-9.45E-18,682
Itihasa,7.5,1986,701,293,414.2955478,1051.258915,7.47E-08,-1.45015E-06,701
Little Miss P,7.1,2017,644,294,898.1132075,1236.22408,-1.89E-17,-9.45E-18,644
Animal Yokochou,7.38,2000,301,295,635.0943396,1106.712375,-1.89E-17,-9.45E-18,301
Susanoou,7.04,1979,880,296,310.1886792,1263.976589,-1.89E-17,-1.57E-18,880
Ui x Kon,7.23,2019,701,297,929.0566038,1176.093645,-2.52E-17,-1.26E-17,701
Yo-kai Watch,6.64,2012,1450,298,818.793447,1451.790945,9.40E-07,-6.84E-07,1450
Aoi Honoo,7.25,2007,1737,299,742.4851969,1166.298087,-1.76E-07,-2.95E-07,1737
Tetsuya: Jansei to Yobareta Otoko,7.09,1997,730,300,587.8206635,1240.336135,-1.66E-07,-2.78E-07,730
Asahinagu,6.85,2011,2007,301,805.2830189,1351.859532,-2.52E-17,-6.30E-18,2007
Police in a Pod,7.05,2017,1628,302,898.1132075,1259.351171,-1.89E-17,-1.26E-17,1628
Sunny Sunny Ann!,7.21,2011,379,303,805.2830189,1185.344482,-2.52E-17,-9.45E-18,379
Kachou Shima Kousaku,7.12,1983,842,304,372.0754717,1229.738776,8.94E-07,-8.95E-18,842
Spiritual Princess,6.91,2007,1032,305,743.3962264,1321.696748,-7.79E-07,4.17E-17,1032
Croket!,6.98,2000,343,306,635.0943636,1299.77304,2.60045E-06,-1.54E-10,343
Yakumotatsu,7.12,1992,626,307,511.3207547,1226.973244,-1.89E-17,-4.72E-18,626
Land,7.04,2014,1269,308,851.6981132,1263.976589,-1.89E-17,-1.26E-17,1269
Kawa yori mo Nagaku Yuruyaka ni,6.76,1982,525,309,356.6037736,1393.488294,-1.89E-17,-4.72E-18,525
Goshiki no Fune,6.63,2013,621,310,838.0566631,1453.814628,-4.31E-08,5.45E-07,621
Kiiroi Hon: Jacques Thibault to Iu Na no Yuujin,6.48,2001,940,311,650.5660377,1523,-2.52E-17,-6.30E-18,940
12-sai.,6.67,2012,1258,312,821.1084407,1432.074016,-9.24E-07,2.07E-07,1258
The Times of Botchan,6.94,2005,609,313,712.4528302,1310.230769,-1.89E-17,-9.45E-18,609
Kaitou Joker,6.88,2007,473,314,743.3962264,1340.647949,8.61E-07,-4.33E-17,473
Barairo no Ashita,6.75,1996,484,315,573.2075472,1398.113712,-1.26E-17,-9.45E-18,484
-1,,,,-1,0,0,,,
-2,,,,-2,1100,0,,,
-3,,,,-3,0,1663,,,
-4,,,,-4,1100,1663,,,
